FoodCodes	drxfcsd	Main.food.description	Old.Main.food.description	ModCode	FoodID
32130800	EGG OMELET OR SCRAMBLED EGG, W/MEAT  TOMATOES, FAT ADDED	Egg_omelet_or_scrambled_egg_with_meat_and_tomatoes_fat_added_in_cooking	Egg omelet or scrambled egg, with meat and tomatoes, fat added in cooking	0	32130800.0
32130820	EGG OMELET OR SCRAMBLED EGG, W/MEAT  TOMATOES, NS FAT ADDED	Egg_omelet_or_scrambled_egg_with_meat_and_tomatoes_NS_as_to_fat_added_in_cooking	Egg omelet or scrambled egg, with meat and tomatoes, NS as to fat added in cooking	0	32130820.0
32130830	EGG OMELET OR SCR EGG, W/MEAT  DK-GRN VEGS, FAT ADDED	Egg_omelet_or_scrambled_egg_with_meat_and_dark_green_vegetables_fat_added_in_cooking	Egg omelet or scrambled egg, with meat and dark-green vegetables, fat added in cooking	0	32130830.0
32130840	EGG OMELET OR SCR EGG, W/MEAT  DK-GRN VEGS, FAT NOT ADDED	Egg_omelet_or_scrambled_egg_with_meat_and_dark_green_vegetables_fat_not_added_in_cooking	Egg omelet or scrambled egg, with meat and dark-green vegetables, fat not added in cooking	0	32130840.0
32130890	EGG OMELET OR SCR EGG, W/MEAT  OTHER VEGS, FAT ADDED	Egg_omelet_or_scrambled_egg_with_meat_and_vegetables_other_than_dark_green_and_or_tomatoes_fat_added_in_cooking	Egg omelet or scrambled egg, with meat and vegetables other than dark-green and/or tomatoes, fat added in cooking	0	32130890.0
32130910	EGG OMELET OR SCR EGG, W/MEAT  OTHER VEGS, NS FAT ADDED	Egg_omelet_or_scrambled_egg_with_meat_and_vegetables_other_than_dark_green_and_or_tomatoes_NS_as_to_fat_added_in_cooking	Egg omelet or scrambled egg, with meat and vegetables other than dark-green and/or tomatoes, NS as to fat added in cooking	0	32130910.0
32131000	EGG OMELET OR SCR EGG, W/ CHEESE, MEAT  TOMATOES, FAT ADDED	Egg_omelet_or_scrambled_egg_with_cheese_meat_and_tomatoes_fat_added_in_cooking	Egg omelet or scrambled egg, with cheese, meat, and tomatoes, fat added in cooking	0	32131000.0
32131020	EGG OMELET OR SCR EGG, W/ CHEESE, MEAT  TOMATOES, NS FAT AD	Egg_omelet_or_scrambled_egg_with_cheese_meat_and_tomatoes_NS_as_to_fat_added_in_cooking	Egg omelet or scrambled egg, with cheese, meat, and tomatoes, NS as to fat added in cooking	0	32131020.0
32131030	EGG OMELET OR SCR EGG, W/CHEESE, MEATDK GRN VEG,FAT ADDED	Egg_omelet_or_scrambled_egg_with_cheese_meat_and_dark_green_vegetables_fat_added_in_cooking	Egg omelet or scrambled egg, with cheese, meat, and dark-green vegetables, fat added in cooking	0	32131030.0
32131050	EGG OMELET OR SCR EGG, W/CHEESE, MEATDK GRN VEG,NS FAT ADDE	Egg_omelet_or_scrambled_egg_with_cheese_meat_and_dark_green_vegetables_NS_as_to_fat_added_in_cooking	Egg omelet or scrambled egg, with cheese, meat, and dark-green vegetables, NS as to fat added in cooking	0	32131050.0
32131080	EGG OMELET/SCR EGG,W/CHEESE,MEAT,TOMDK GRN VEG,NS FAT ADDED	Egg_omelet_or_scrambled_egg_with_cheese_meat_tomatoes_and_dark_green_vegetables_NS_as_to_fat_added_in_cooking	Egg omelet or scrambled egg, with cheese, meat, tomatoes, and dark-green vegetables, NS as to fat added in cooking	0	32131080.0
32131090	EGG OMELET OR SCR EGG, W/ CHEESE, MEAT  OTHER VEG,FAT ADDED	Egg_omelet_or_scrambled_egg_with_cheese_meat_and_vegetables_other_than_dark_green_and_or_tomatoes_fat_added_in_cooking	Egg omelet or scrambled egg, with cheese, meat, and vegetables other than dark-green and/or tomatoes, fat added in cooking	0	32131090.0
32131100	EGG OMELET OR SCR EGG, W/ CHEESE, MEAT  OTHER VEG,FAT NOT A	Egg_omelet_or_scrambled_egg_with_cheese_meat_and_vegetables_other_than_dark_green_and_or_tomatoes_fat_not_added_in_cooking	Egg omelet or scrambled egg, with cheese, meat, and vegetables other than dark-green and/or tomatoes, fat not added in cooking	0	32131100.0
