FoodCode	DRXFCSD	Main.food.description	Old.Main.food.description	ModCode	FoodID
71900200	PLANTAIN, FRIED, NS AS TO GREEN OR RIPE	Plantain_fried_NS_as_to_green_or_ripe	Plantain, fried, NS as to green or ripe	0	71900200.0
71905410	PLANTAIN CHIPS	Plantain_chips	Plantain chips	0	71905410.0
71930100	CASSAVA, COOKED, FAT NOT ADDED IN COOKING	Cassava_cooked_fat_not_added_in_cooking	Cassava, cooked, fat not added in cooking	0	71930100.0
71970200	FUFU	Fufu	Fufu	0	71970200.0
72107227	COLLARDS, COOKED, FROM FRESH, MADE WITH OIL	Collards_cooked_from_fresh_made_with_oil	Collards, cooked, from fresh, made with oil	0	72107227.0
72116000	ROMAINE LETTUCE, RAW	Romaine_lettuce_raw	Romaine lettuce, raw	0	72116000.0
72119190	KALE, RAW	Kale_raw	Kale, raw	0	72119190.0
72122211	MUSTARD GREENS, COOKED, FROM FRESH, FAT NOT ADDED IN COOKING	Mustard_greens_cooked_from_fresh_fat_not_added_in_cooking	Mustard greens, cooked, from fresh, fat not added in cooking	0	72122211.0
72125100	SPINACH, RAW	Spinach_raw	Spinach, raw	0	72125100.0
72125212	SPINACH, COOKED, FROM FROZEN, FAT NOT ADDED IN COOKING	Spinach_cooked_from_frozen_fat_not_added_in_cooking	Spinach, cooked, from frozen, fat not added in cooking	0	72125212.0
72125217	SPINACH, COOKED, FROM FRESH, MADE WITH OIL	Spinach_cooked_from_fresh_made_with_oil	Spinach, cooked, from fresh, made with oil	0	72125217.0
72201100	BROCCOLI, RAW	Broccoli_raw	Broccoli, raw	0	72201100.0
72201211	BROCCOLI, COOKED, FROM FRESH, FAT NOT ADDED IN COOKING	Broccoli_cooked_from_fresh_fat_not_added_in_cooking	Broccoli, cooked, from fresh, fat not added in cooking	0	72201211.0
72201212	BROCCOLI, COOKED, FROM FROZEN, FAT NOT ADDED IN COOKING	Broccoli_cooked_from_frozen_fat_not_added_in_cooking	Broccoli, cooked, from frozen, fat not added in cooking	0	72201212.0
72201223	BROCCOLI, COOKED, FROM FRESH, MADE WITH OIL	Broccoli_cooked_from_fresh_made_with_oil	Broccoli, cooked, from fresh, made with oil	0	72201223.0
72302100	BROCCOLI CHEESE SOUP, PREPARED WITH MILK, HOME RECIPE, CANNE	Broccoli_cheese_soup_prepared_with_milk_home_recipe_canned_or_ready_to_serve	Broccoli cheese soup, prepared with milk, home recipe, canned, or ready-to-serve	0	72302100.0
72308000	DARK-GREEN LEAFY VEGETABLE SOUP WITH MEAT, ASIAN STYLE	Dark_green_leafy_vegetable_soup_with_meat_Asian_style	Dark-green leafy vegetable soup with meat, Asian style	0	72308000.0
72308500	DARK-GREEN LEAFY VEGETABLE SOUP, MEATLESS, ASIAN STYLE	Dark_green_leafy_vegetable_soup_meatless_Asian_style	Dark-green leafy vegetable soup, meatless, Asian style	0	72308500.0
73101010	CARROTS, RAW	Carrots_raw	Carrots, raw	0	73101010.0
73102200	CARROTS, COOKED, NS AS TO FORM, NS AS TO FAT ADDED IN COOKIN	Carrots_cooked_NS_as_to_form_NS_as_to_fat_added_in_cooking	Carrots, cooked, NS as to form, NS as to fat added in cooking	0	73102200.0
73102210	CARROTS, COOKED, NS AS TO FORM, FAT NOT ADDED IN COOKING	Carrots_cooked_NS_as_to_form_fat_not_added_in_cooking	Carrots, cooked, NS as to form, fat not added in cooking	0	73102210.0
73102211	CARROTS, COOKED, FROM FRESH, FAT NOT ADDED IN COOKING	Carrots_cooked_from_fresh_fat_not_added_in_cooking	Carrots, cooked, from fresh, fat not added in cooking	0	73102211.0
73102213	CARROTS, COOKED, FROM CANNED, FAT NOT ADDED IN COOKING	Carrots_cooked_from_canned_fat_not_added_in_cooking	Carrots, cooked, from canned, fat not added in cooking	0	73102213.0
73102243	CARROTS, COOKED, FROM CANNED, GLAZED	Carrots_cooked_from_canned_glazed	Carrots, cooked, from canned, glazed	0	73102243.0
73111212	PEAS AND CARROTS, COOKED, FROM FROZEN, FAT NOT ADDED IN COOK	Peas_and_carrots_cooked_from_frozen_fat_not_added_in_cooking	Peas and carrots, cooked, from frozen, fat not added in cooking	0	73111212.0
73201027	PUMPKIN, COOKED, FROM FRESH, MADE WITH OIL	Pumpkin_cooked_from_fresh_made_with_oil	Pumpkin, cooked, from fresh, made with oil	0	73201027.0
73402010	SWEET POTATO, BAKED, PEEL EATEN, FAT NOT ADDED IN COOKING	Sweet_potato_baked_peel_eaten_fat_not_added_in_cooking	Sweet potato, baked, peel eaten, fat not added in cooking	0	73402010.0
73403010	SWEET POTATO, BAKED, PEEL NOT EATEN, FAT NOT ADDED IN COOKIN	Sweet_potato_baked_peel_not_eaten_fat_not_added_in_cooking	Sweet potato, baked, peel not eaten, fat not added in cooking	0	73403010.0
73403022	SWEET POTATO, BAKED, PEEL NOT EATEN, MADE WITH BUTTER	Sweet_potato_baked_peel_not_eaten_made_with_butter	Sweet potato, baked, peel not eaten, made with butter	0	73403022.0
73405020	SWEET POTATO, BOILED, FAT ADDED IN COOKING, NS AS TO TYPE OF	Sweet_potato_boiled_fat_added_in_cooking_NS_as_to_type_of_fat	Sweet potato, boiled, fat added in cooking, NS as to type of fat	0	73405020.0
73410400	SWEET POTATO FRIES, FAST FOOD / RESTAURANT	Sweet_potato_fries_fast_food_restaurant	Sweet potato fries, fast food / restaurant	0	73410400.0
73502000	SQUASH, WINTER TYPE, SOUP, HOME RECIPE, CANNED, OR READY-TO-	Squash_winter_type_soup_home_recipe_canned_or_ready_to_serve	Squash, winter type, soup, home recipe, canned, or ready-to-serve	0	73502000.0
74101000	TOMATOES, RAW	Tomatoes_raw	Tomatoes, raw	0	74101000.0
74201001	TOMATOES, COOKED, FROM FRESH, NS AS TO METHOD	Tomatoes_cooked_from_fresh_NS_as_to_method	Tomatoes, cooked, from fresh, NS as to method	0	74201001.0
74303000	TOMATO AND VEGETABLE JUICE, 100%	Tomato_and_vegetable_juice_100_	Tomato and vegetable juice, 100%	0	74303000.0
74401010	TOMATO CATSUP	Tomato_catsup	Tomato catsup	0	74401010.0
74402010	TOMATO CHILI SAUCE	Tomato_chili_sauce	Tomato chili sauce	0	74402010.0
74402110	SALSA, PICO DE GALLO	Salsa_pico_de_gallo	Salsa, pico de gallo	0	74402110.0
74402150	SALSA, RED, COMMERCIALLY-PREPARED	Salsa_red_commercially_prepared	Salsa, red, commercially-prepared	0	74402150.0
74402200	SALSA, RED, HOMEMADE	Salsa_red_homemade	Salsa, red, homemade	0	74402200.0
74402250	ENCHILADA SAUCE, RED	Enchilada_sauce_red	Enchilada sauce, red	0	74402250.0
74402350	SALSA VERDE OR SALSA, GREEN	Salsa_verde_or_salsa_green	Salsa verde or salsa, green	0	74402350.0
74404010	SPAGHETTI SAUCE	Spaghetti_sauce	Spaghetti sauce	0	74404010.0
74406010	BARBECUE SAUCE	Barbecue_sauce	Barbecue sauce	0	74406010.0
74406100	STEAK SAUCE, TOMATO-BASE	Steak_sauce_tomato_base	Steak sauce, tomato-base	0	74406100.0
75101000	BEAN SPROUTS, RAW	Bean_sprouts_raw	Bean sprouts, raw	0	75101000.0
75102750	BRUSSELS SPROUTS, RAW	Brussels_sprouts_raw	Brussels sprouts, raw	0	75102750.0
75103000	CABBAGE, GREEN, RAW	Cabbage_green_raw	Cabbage, green, raw	0	75103000.0
75105000	CABBAGE, RED, RAW	Cabbage_red_raw	Cabbage, red, raw	0	75105000.0
75109000	CELERY, RAW	Celery_raw	Celery, raw	0	75109000.0
75109550	CILANTRO, RAW	Cilantro_raw	Cilantro, raw	0	75109550.0
75111000	CUCUMBER, RAW	Cucumber_raw	Cucumber, raw	0	75111000.0
75111500	GARLIC, RAW	Garlic_raw	Garlic, raw	0	75111500.0
75113000	LETTUCE, RAW	Lettuce_raw	Lettuce, raw	0	75113000.0
75113080	LETTUCE, ARUGULA, RAW	Lettuce_arugula_raw	Lettuce, arugula, raw	0	75113080.0
75114000	MIXED SALAD GREENS, RAW	Mixed_salad_greens_raw	Mixed salad greens, raw	0	75114000.0
75115000	MUSHROOMS, RAW	Mushrooms_raw	Mushrooms, raw	0	75115000.0
75117020	ONIONS, MATURE, RAW	Onions_mature_raw	Onions, mature, raw	0	75117020.0
75121000	PEPPER, HOT CHILI, RAW	Pepper_hot_chili_raw	Pepper, hot chili, raw	0	75121000.0
