Food	Axis	correlation	pval	qval	Significance
Kefir NS as to fat content	Axis.2	0.106563423456729	0.101732367664637	0.766426680211524	
Kefir NS as to fat content	Axis.4	0.0827769450065662	0.204163865320983	0.766426680211524	
Kefir NS as to fat content	Axis.6	-0.0970488320766638	0.136311786487262	0.766426680211524	
Milk evaporated whole	Axis.2	-0.0896013291394188	0.169172098258131	0.766426680211524	
Milk evaporated whole	Axis.6	0.146696746671003	0.0239045098397812	0.766426680211524	
Milk evaporated whole	Axis.9	-0.130091148861458	0.0454302382143104	0.766426680211524	
Soy milk	Axis.1	0.0865827815585923	0.184054726583122	0.766426680211524	
Soy milk	Axis.7	-0.0980002912146704	0.132493312990418	0.766426680211524	
Soy milk	Axis.8	-0.0751652719025142	0.249046678385109	0.766426680211524	
Almond milk sweetened	Axis.8	0.0937533289393254	0.150191828695887	0.766426680211524	
Almond milk unsweetened	Axis.3	0.0893969519695799	0.170150549927654	0.766426680211524	
Almond milk unsweetened	Axis.5	0.13866284577882	0.0328657666454897	0.766426680211524	
Almond milk unsweetened	Axis.9	-0.0785127205506777	0.228528830044891	0.766426680211524	
Rice milk	Axis.2	-0.111320719146761	0.0872624017229714	0.766426680211524	
Rice milk	Axis.3	0.0922915363866313	0.156681038173351	0.766426680211524	
Rice milk	Axis.7	0.104660505180716	0.108026729490905	0.766426680211524	
Rice milk	Axis.9	0.0875342406965988	0.179263206481129	0.766426680211524	
Coconut milk	Axis.1	0.101806127766696	0.118037814914839	0.766426680211524	
Coconut milk	Axis.4	0.107514882594735	0.0986958733383226	0.766426680211524	
Coconut milk	Axis.8	-0.0913400772486248	0.161016867546668	0.766426680211524	
Coconut milk	Axis.9	-0.0818254858685597	0.209430480572362	0.766426680211524	
Coconut milk	Axis.10	-0.0980002912146704	0.132493312990418	0.766426680211524	
Yogurt NFS	Axis.3	0.0884856998346053	0.174564474169601	0.766426680211524	
Yogurt NFS	Axis.5	0.0761167310405207	0.24308885095363	0.766426680211524	
Yogurt NFS	Axis.6	-0.0989517503526769	0.128757689409435	0.766426680211524	
Yogurt low fat milk plain	Axis.3	0.0989517503526769	0.128757689409435	0.766426680211524	
Yogurt Greek NS as to type of milk plain	Axis.5	0.0767287494891536	0.239309544141558	0.766426680211524	
Yogurt Greek NS as to type of milk plain	Axis.6	-0.0745610456811032	0.252882455850059	0.766426680211524	
Yogurt Greek NS as to type of milk plain	Axis.9	-0.0843925212199774	0.195441658883399	0.766426680211524	
Yogurt Greek NS as to type of milk plain	Axis.10	-0.0743220862062	0.254410656228866	0.766426680211524	
Yogurt Greek low fat milk plain	Axis.3	0.0913400772486248	0.161016867546668	0.766426680211524	
Yogurt Greek low fat milk plain	Axis.4	-0.0751652719025142	0.249046678385109	0.766426680211524	
Yogurt Greek nonfat milk plain	Axis.1	0.0980002912146704	0.132493312990418	0.766426680211524	
Yogurt Greek nonfat milk plain	Axis.4	0.109417800870748	0.0928388254866606	0.766426680211524	
Yogurt Greek nonfat milk plain	Axis.5	0.0780196493165337	0.231473540171001	0.766426680211524	
