Food_code	DR2IGRMS
63101000	91
64104010	209
71401030	55
74401010	2.5
54301030	15
94000100	150
92103000	390
11112110	22.88
51101010	50
81104011	18.92
22600200	12
51101000	42
75113000	3.28
74101000	11.25
94000100	48.75
54403052	14.44
32130630	144
51301700	105
14410380	10.42
61210250	155
51301010	56
25230780	56
83107000	18.33
75506010	10.42
75113000	8
74101000	40
14410110	21
64100110	155
58101635	322
14104100	4.71
75113000	16
94100100	315
71200230	57
61210250	155
63123000	84.94
53520110	54
91745010	18
57304100	77.94
11112210	30.5
31103010	44
94100100	450
21602100	67.5
27564060	204
75506010	31.25
92410310	372
94100100	540
55201000	270
81101000	14.19
91301060	19.69
94000100	360
94000100	240
92101000	255
12120100	30
94000100	600
31105090	46
51300110	72
14104100	21
92101000	360
12120100	45
94000100	900
78101110	324
94000100	600
93401010	75
58106700	166.25
83106000	29.4
75113000	35
75111000	29.75
75510020	16.88
74101000	45
94000100	240
11460300	69.56
94000100	120
92302500	240
11111000	30.5
55301015	65
22600200	16
94000100	480
63101000	149
56130000	70
74101000	123
21500310	130
58160550	10.75
53100100	7.5
92510960	46
53241500	30
91745020	28
53105275	30
75111000	42
51180010	17.25
81103090	0.5
21500310	65
11553110	162
32400600	138
92114000	195
91102010	4.58
12210430	17.63
52215100	54
41102020	59.99
94100100	2880
26158050	170
74504100	75.63
75317011	82.5
56205006	40.75
52215100	54
67203800	325.5
51161250	30
53215500	60
91750000	5
56203066	195
51301010	28
42202150	2.67
42100050	35.5
95103000	252
92306700	120
91101010	1.04
92101000	360
56205011	98
41104000	180
75649010	241
94000100	240
71200100	56.7
94000100	150
58112510	370
64100110	542.5
94000100	760.5
75651030	404.13
28355460	404.13
94000100	195
92303010	195
94000100	760.5
27410220	212.63
56205008	88.88
94000100	120
32130080	107
25221405	40
52302010	130
81102020	9.46
92530610	124
92101000	345
27510172	115
71401030	110
93102000	480
92410520	180
58106725	79
93505000	112
92308000	248
63107010	118
61119010	96
11432000	170
94100100	157.5
94100100	157.5
56201540	180
94100100	150
83112500	9.79
75113000	11.97
74101000	39.59
92530610	115
94100100	105
24201410	114
94100100	240
58160110	179.25
95103000	252
13110100	27.75
94100100	45
92410560	402.5
25230210	170.1
51101000	42
83107000	3.44
75113000	19.69
74101000	45
14108400	47.25
92410320	360
95312600	234
92410360	149.5
91705010	21.25
93102000	1800
24122131	170.1
56130000	253.75
81101000	9.46
94000100	870
53206000	40
22000210	68
25221400	35
56205008	138.25
94000100	1740
21000110	21.25
92410310	46.5
22000210	38.25
75200121	45.5
61119010	96
56205008	138.25
24133210	155
75200121	45.5
92101000	360
12130100	15
91108000	3
94000100	720
33000990	306
22600200	16
92103000	525
12120100	45
91108000	3
94100100	720
28340310	488
94100100	720
11434020	150
27564060	204
75506010	10
75503010	35
94000100	720
64104010	325.5
27540145	107.25
64104010	325.5
53240000	28
27416300	152
54401075	6
95320500	325.5
24198746	80
71403020	100
94000100	150
27550000	228
74402150	2.59
92308030	248
71200110	170.1
93101000	960
93301132	480
24147320	85
92308030	248
22101110	49
75311010	127.58
71000100	42.53
24100000	6.33
93101000	1440
93301132	300
56203130	163
11112110	122
51101010	50
81103080	19.08
92130010	270
94000100	240
58400100	241
51150000	43
81103080	4.77
94100200	840
94000100	105
53243000	24
94000100	240
13110100	222
27242500	224
94000100	120
64104010	124
57103100	27
11112110	244
58106570	140
63135150	113.4
11112110	244
53206000	310
64104010	124
58104750	318
14131000	5.5
12310100	9.58
92410510	124
53109200	42
57304100	37.63
11112110	152.5
94000100	435
92101000	435
51101060	80
41205070	20
32130010	108
94000100	525
92101000	240
82104000	9
64401000	15
75113000	70
75111000	59.5
41106000	59.99
41420010	124
51109100	28
93101000	240
94000100	435
71104130	160
41420010	124
56205018	97.5
94000100	330
82104000	9
64401000	15
75113000	115.94
75111000	59.5
75201000	57.66
94000100	525
32130270	255
92302000	1080
91101010	25
61204010	23.5
92410550	372
58101345	393
94000100	180
27116200	226.8
25220105	113.4
58146393	125
92410710	496
53114000	60
53102100	55.2
94000100	720
92101000	600
12120100	60
32130210	150
58106655	223
92410360	1240
75503040	6
91721000	44
94000100	360
92101000	600
12120100	60
93101000	720
27111406	381
12310100	28.75
14104100	27
94000100	360
57241000	67.06
11114320	488
94000100	600
94000100	600
51153000	62
21401000	67
75503090	15
14109010	42
58145111	345
92410310	667
94000100	600
27141500	508
14104100	37.66
94000100	600
56207030	195
92302000	360
91101010	16.67
11121100	10.17
94000100	615
91745020	20
71401039	184
74401010	30
94000100	195
91706000	91.29
91745020	30
94000100	615
14640115	116
92530950	124
94100100	253.5
13110110	74
94100100	253.5
58145112	172.5
94000100	120
94000100	120
58106555	176
54336000	24
31105030	80
51301010	96
14410110	42
58106514	32.4
11511550	325.5
94100100	390
63107010	118
56205012	355.25
92103000	195
11100000	30.5
91101010	4.17
24143220	135
92510610	325.5
92101000	525
12210420	17.63
92308020	667
61204000	15.5
58104130	264
93102100	2520
58101323	345
56203130	163
94100100	240
27540250	242
92410320	360
53209015	33
94100100	960
42500100	46.66
94100100	480
32130110	138
71404030	160
74401010	10
56201050	120
92410520	184
94000100	1560
25221830	70
94100100	480
42501000	140
95330100	77.5
61210250	77.5
95330100	31
94100100	120
92305010	30
52215100	14
58400100	90.38
24144301	2.81
41104020	3.75
63223020	24
95330100	31
61119010	65.5
56205002	61.13
41104020	3.75
63105010	10
94100100	253.5
51300175	40
92302000	150
91101010	8.33
75649110	234
56205018	109.69
75440300	342
94100100	507
31103010	88
51300175	40
94000100	720
75440300	228
63107010	118
94000100	720
53720200	68
94000100	2610
94000100	744.15
58146421	500
14108010	6.25
51109010	43
81101000	9.46
58147510	158.01
53520110	182
53440300	106.25
64104010	124
11112110	122
58106236	158
11511200	248
83112500	29.4
75143000	54.75
63129010	72.19
63141010	72.19
94100100	253.5
91750000	15
61125010	88
63101000	149
94000100	180
61119010	96
54325060	10
58104770	318
64204010	186
94000100	180
94000100	150
32130070	155.25
11432000	170
94100100	1920
71401030	60
24198741	150
83112500	29.38
92410510	372
63107010	354
94000100	120
73101010	50
51101000	56
25230210	56
83110000	9.79
61210220	92
54328100	7
64104010	184
51101000	56
91300100	59.06
11111000	244
91705420	43
54401081	39.12
94100100	507
94100100	507
94100100	507
94100100	507
92101000	240
11112110	30.5
91107000	1
94100100	1014
51158100	117
41104011	11.25
61210250	248
51101000	56
25230800	28
83107000	4.58
75113000	8
74101000	20
63107010	118
63139010	168
58407030	370
11112110	244
56205008	158
25221405	40
64104010	248
24198731	160
71401030	145
75205023	153
71501010	250
21401120	134
13110100	148
92530610	248
11111000	183
55103000	100
91301250	29.53
63123000	30
61210220	165.34
63107010	118
94100100	360
51180010	26.25
14301010	2.42
24127202	82.5
71501040	83.33
73102242	16.8
92530610	165.34
94100100	160.01
91708030	25.52
22300140	44.66
73102242	11.2
71501040	83.33
94100100	300
11111000	183
11111000	244
57123000	28
42302020	112
